source_stable_id,source_file,source_row_number,parliament_number,parliament_document_id,document_type,document_content_date,member_of_parliament_raw,member_raw_token,member_token_index,member_token_count,multi_member_field,member_id,member_display_name,member_authority_source,member_authority_url,member_resolution_method,member_resolution_confidence,member_resolution_status,review_status,release_status,source_hash,authority_snapshot_hash,notes,review_reason
47HansS_20050303_00000039,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,7005,47,47HansS_20050303_00000039,Hansard - speech,2007-07-15T01:12:36.690000,The Clerk,The Clerk,1,1,False,,,,,no-authority-match,none,unresolved,agent-review-required,agent-review-fallback,94af143f9ebb543e4b69befd8e566bc33bd67b7d609bd1cea50599414325eeb2,e46f2c03e673cf212632ba88825693ea7ae405a2a8c2911b4cb5848b152a32c9,No matching member authority record in the current local authority snapshot.,unresolved
47HansS_20040901_00001402,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,10503,47,47HansS_20040901_00001402,Hansard - speech,2007-11-05T12:36:01.070000,David Parker; Brian Connell; Shane Ardern; Ken Shirley; Presiding Officer,Presiding Officer,5,5,True,,,,,no-authority-match,none,unresolved,agent-review-required,agent-review-fallback,404244ddbee0d520f6ce8365475df3429f2d11de7bd06233506fe22ca2767526,e46f2c03e673cf212632ba88825693ea7ae405a2a8c2911b4cb5848b152a32c9,No matching member authority record in the current local authority snapshot.,unresolved
47HansS_20050303_00000128,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,13118,47,47HansS_20050303_00000128,Hansard - speech,2007-07-15T01:13:54.157000,Presiding Officer,Presiding Officer,1,1,False,,,,,no-authority-match,none,unresolved,agent-review-required,agent-review-fallback,7f526f00450a0866e6f31f2a381eafe80d6c610f4c19eb298d09c98c16e4138e,e46f2c03e673cf212632ba88825693ea7ae405a2a8c2911b4cb5848b152a32c9,No matching member authority record in the current local authority snapshot.,unresolved
47HansS_20050303_00000045,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,13321,47,47HansS_20050303_00000045,Hansard - speech,2007-07-15T01:12:48.660000,Presiding Officer; Margaret Wilson,Presiding Officer,1,2,True,,,,,no-authority-match,none,unresolved,agent-review-required,agent-review-fallback,6494bd490db4824aa3522cb608901ca97ad3b9973f7f4a1cda479370f2311e06,e46f2c03e673cf212632ba88825693ea7ae405a2a8c2911b4cb5848b152a32c9,No matching member authority record in the current local authority snapshot.,unresolved
47HansS_20030624_00001410,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,17132,47,47HansS_20030624_00001410,Hansard - speech,2007-07-26T13:46:07.200000,Presiding Officer,Presiding Officer,1,1,False,,,,,no-authority-match,none,unresolved,agent-review-required,agent-review-fallback,d49e51adb9bd9f8a71b645e641aec024c72737d8f088342d3f12820dcf1d29a8,e46f2c03e673cf212632ba88825693ea7ae405a2a8c2911b4cb5848b152a32c9,No matching member authority record in the current local authority snapshot.,unresolved
48HansS_20070822_00000925,2024-09-06 Hansard Extract from DocumentsDB/Hansard-48.csv,60,48,48HansS_20070822_00000925,Hansard - speech,2015-07-22T13:49:28.907000,Presiding Officer;,Presiding Officer,1,1,False,,,,,no-authority-match,none,unresolved,agent-review-required,agent-review-fallback,e5de9525a4e89a4b2dc256f72df85784927aace3ba841639bf982400bde13c37,e46f2c03e673cf212632ba88825693ea7ae405a2a8c2911b4cb5848b152a32c9,No matching member authority record in the current local authority snapshot.,unresolved
48HansS_20070822_00000913,2024-09-06 Hansard Extract from DocumentsDB/Hansard-48.csv,63,48,48HansS_20070822_00000913,Hansard - speech,2015-07-22T13:49:27.877000,Presiding Officer;,Presiding Officer,1,1,False,,,,,no-authority-match,none,unresolved,agent-review-required,agent-review-fallback,a890422eb6bc589bdffe5bd24350232f55246a0d2ca97dad3f3525e6899d0606,e46f2c03e673cf212632ba88825693ea7ae405a2a8c2911b4cb5848b152a32c9,No matching member authority record in the current local authority snapshot.,unresolved
48HansS_20071206_00001048,2024-09-06 Hansard Extract from DocumentsDB/Hansard-48.csv,9493,48,48HansS_20071206_00001048,Hansard - speech,2007-12-18T16:52:59.493000,Annette King; Christopher Finlayson; Presiding Officer,Presiding Officer,3,3,True,,,,,no-authority-match,none,unresolved,agent-review-required,agent-review-fallback,4cb102f4c70b31b0494a9ef429797f6eff5a62fecf9d7d8fff07ef9fb7e3d324,e46f2c03e673cf212632ba88825693ea7ae405a2a8c2911b4cb5848b152a32c9,No matching member authority record in the current local authority snapshot.,unresolved
48HansS_20071017_00001347,2024-09-06 Hansard Extract from DocumentsDB/Hansard-48.csv,11043,48,48HansS_20071017_00001347,Hansard - speech,2007-11-01T13:28:18.710000,John Hayes; Darren Hughes; Peter Brown; Presiding Officer,Presiding Officer,4,4,True,,,,,no-authority-match,none,unresolved,agent-review-required,agent-review-fallback,1980961dcfc879cd3393a86fc8c8d95417559ca9f2b7f37aa05b7d6cc2c2ea04,e46f2c03e673cf212632ba88825693ea7ae405a2a8c2911b4cb5848b152a32c9,No matching member authority record in the current local authority snapshot.,unresolved
48HansS_20060831_00000900,2024-09-06 Hansard Extract from DocumentsDB/Hansard-48.csv,16658,48,48HansS_20060831_00000900,Hansard - speech,2007-07-10T21:21:06.017000,Presiding Officer,Presiding Officer,1,1,False,,,,,no-authority-match,none,unresolved,agent-review-required,agent-review-fallback,4573efda75de7b6bddee22d6a5b7d4576100a3375f37c3e1b105207c3f602418,e46f2c03e673cf212632ba88825693ea7ae405a2a8c2911b4cb5848b152a32c9,No matching member authority record in the current local authority snapshot.,unresolved
