turn_id,source_stable_id,source_file,source_row_number,parliament_document_id,parliament_number,document_type,title,turn_index,speaker_candidate,speaker_member_id,speaker_identity_status,speaker_resolution_confidence,speech_text,source_selector,confidence,method,review_status,release_status,source_hash,validation_hash,notes,review_reason
nzhc-speech-turn-f68feafbfcadedc2,47HansD_20030408,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,56,47HansD_20030408,47,Hansard - daily,"Volume 607, Week 21 - Tuesday, 8 April 2003",1,Minister of Consumer Affairs,,unresolved,none,I move,47HansD_20030408#turn-1,medium,tab_colon_marker_v1,needs-review,blocked-pending-validation,7828ab3c776a568e6a287d37c8fa9c9a808c3279cb5f75e66c638322e9c603d5,7ae05c45c95aa3abd021eec3dd886c28c46156af19cbdb15ff2c61ddbff7aa9a,Speaker candidate did not match the triangulated member authority and is routed to agent-review fallback.,unresolved
nzhc-speech-turn-91c7c6305ba1085d,47HansD_20040908_00000864,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,974,47HansD_20040908_00000864,47,Hansard - debate,General Debate,1,Counting for Something,,unresolved,none,Value Added By Voluntary Agencies,47HansD_20040908_00000864#turn-1,medium,tab_colon_marker_v1,needs-review,blocked-pending-validation,eddb5af6d038a4d0d6d218134bc9a18613ace8b2b40561c1c77e0ef304637d99,53e4861b061bb50dd044edbcf8d5eb7f1abaa1676453915cb72989bcae1a4bbd,Speaker candidate did not match the triangulated member authority and is routed to agent-review fallback.,unresolved
nzhc-speech-turn-50f6f99a758c4d60,47HansD_20050727_00000486,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,2042,47HansD_20050727_00000486,47,Hansard - debate,Questions for Oral Answer — Questions to Ministers,1,Minister of Justice,,unresolved,none,Yes the Government will support sending this bill to a select committee. Whether section 59 should be repealed or amended is still an open question that can only benefit from wide public debate at a select committee.,47HansD_20050727_00000486#turn-1,medium,tab_colon_marker_v1,needs-review,blocked-pending-validation,912dc5d9bd6b26f772baeea81fb4b466f5a5de70d22fa243fc2ab726dc6874f1,a9d960f2894267427177aca2798ffac59441868f2cee0119a551a5e5ffd1c47f,Speaker candidate did not match the triangulated member authority and is routed to agent-review fallback.,unresolved
nzhc-speech-turn-ff156cca7c8534b3,47HansD_20040330,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,2509,47HansD_20040330,47,Hansard - daily,"Volume 616, Week 53 - Tuesday, 30 March 2004",1,Minister of Justice,,unresolved,none,I move,47HansD_20040330#turn-1,medium,tab_colon_marker_v1,needs-review,blocked-pending-validation,b9cf789e5e9d15b1f585758e4e312d734bf0bbb0cdd7aec66390a1a8dc5deab8,99ced66a2acf125154a469950f59968f246280e351293a93ec0b0f052dc1bb26,Speaker candidate did not match the triangulated member authority and is routed to agent-review fallback.,unresolved
nzhc-speech-turn-84e60ae25b41844b,47HansD_20041104,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,2939,47HansD_20041104,47,Hansard - daily,"Volume 621, Week 72 - Thursday, 4 November 2004",1,Prime Minister,,unresolved,none,The Prime Minister has suspended judgment on the financial dealings Mr Tamihere has had or is alleged to have had with the Waipareira Trust while they are the subject of inquiries.,47HansD_20041104#turn-1,medium,tab_colon_marker_v1,needs-review,blocked-pending-validation,2a907f0d74830a5c0b67e5c085ec3206591ab0e8e25b163865b00f79f5f0f51e,cf6ea887ee07e808b5d831ca06c5697f961c2b4f9393c4356403fd6c89e35a43,Speaker candidate did not match the triangulated member authority and is routed to agent-review fallback.,unresolved
nzhc-speech-turn-89afbf16a3f17858,47HansS_20030904_00000211,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,3355,47HansS_20030904_00000211,47,Hansard - question,"Benson-Pope, David: Questions for Oral Answer — Questions to Ministers",1,Minister of State Services,,unresolved,none,The New Zealand public service has a long and proud tradition of public political neutrality. The Public Service Act of 1912 established the convention that the public service should be free of political interference or patronage. That convention has evolved over time but remains very relevant today.,47HansS_20030904_00000211#turn-1,medium,tab_colon_marker_v1,needs-review,blocked-pending-validation,ff716cd359e026522a547b5b739e7d881490173115ebb38ad05960baaadaa3df,a04ffaab4869ae3022157dc731ce06061082d33dcb615ee3c7bd02e772b5f914,Speaker candidate did not match the triangulated member authority and is routed to agent-review fallback.,unresolved
nzhc-speech-turn-394ebb97e432cb1a,47HansS_20040331_00000176,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,3635,47HansS_20040331_00000176,47,Hansard - speech,"Cunliffe, David: Education (Disestablishment of Early Childhood Development Board) Amendment Bill — Second Reading, Instruction to Committee, In Committee, Third Reading",1,Minister of Education,,unresolved,none,I move,47HansS_20040331_00000176#turn-1,medium,tab_colon_marker_v1,needs-review,blocked-pending-validation,ef89e4e18b702bf22a8657505d5a8b87c1f64f852b50cc14d0b5aa80b352f401,5c2fad8dd86ad0f1e3b3fae1852ffdcacccc8e96691d95a82d53f1546c642400,Speaker candidate did not match the triangulated member authority and is routed to agent-review fallback.,unresolved
nzhc-speech-turn-f341269662839863,47HansD_20050621,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,3738,47HansD_20050621,47,Hansard - daily,"Volume 627, Week 93 - Tuesday, 21 June 2005",1,Minister of Police,,unresolved,none,I am advised that the Commissioner of Police informed the Minister of Police of the May 2004 - May 2005 figures in early June. I am also advised that the issue of the number of abandoned general calls has been a concern to the commissioner and that he sought independent advice on the performance of the communications centres the results of which have recently been provided to the Government. The Government has allocated an additional $45 million to address the issues raised in the report.,47HansD_20050621#turn-1,medium,tab_colon_marker_v1,needs-review,blocked-pending-validation,b3bb36c869c69fd4b4c1f9958c40027aaac434c9c429efb8ea42d59337bd6218,17affd5326239a1e46110a99b2f2017cec54128cde517707e429c3efbebf55a2,Speaker candidate did not match the triangulated member authority and is routed to agent-review fallback.,unresolved
nzhc-speech-turn-69de508cee2a0e98,47HansS_20040908_00000867,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,3800,47HansS_20040908_00000867,47,Hansard - speech,"Bradford, Sue: General Debate",1,Counting for Something,,unresolved,none,Value Added By Voluntary Agencies,47HansS_20040908_00000867#turn-1,medium,tab_colon_marker_v1,needs-review,blocked-pending-validation,300085fa5ff02d0df85ee0f7836d1dd9adb16975be97fef2b65197efcf451fa9,d90aa4a18cef5c3f15bdc47b8104f3b4015921f976214e69dff94a8a00278f78,Speaker candidate did not match the triangulated member authority and is routed to agent-review fallback.,unresolved
nzhc-speech-turn-f2773617fb80be1f,47HansS_20050622_00000338,2024-09-06 Hansard Extract from DocumentsDB/Hansard-47.csv,3896,47HansS_20050622_00000338,47,Hansard - question,"Beyer, Georgina: Questions for Oral Answer — Questions to Ministers",1,We Call it Home,,unresolved,none,A History of State Housing in New Zealand,47HansS_20050622_00000338#turn-1,medium,tab_colon_marker_v1,needs-review,blocked-pending-validation,f67a7857ce2b742b7ec0342ddd293bfa6a2a0399e0f00eb2a3c26ceec6d370ae,6d71709e781a701c1f7ac22de85444ad110e0d81a2bdd42d5ce5e80bea6202c1,Speaker candidate did not match the triangulated member authority and is routed to agent-review fallback.,unresolved
